performance_id,date,campaign_id,impressions,clicks,conversions,spend,revenue,created_at,campaign_name,channel,target_audience
1,2024-01-13,1,1589,41,0,139.11,0.0,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
2,2024-01-14,1,2795,126,4,244.58,343.96,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
3,2024-01-15,1,3946,177,5,345.35,486.33,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
4,2024-01-16,1,2175,53,0,190.33,0.0,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
5,2024-01-17,1,3412,132,3,298.6,258.77,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
6,2024-01-18,1,2646,79,1,231.58,89.79,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
7,2024-01-19,1,2359,63,1,206.49,82.78,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
8,2024-01-20,1,2094,71,1,183.24,100.43,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
9,2024-01-21,1,2639,113,3,230.97,230.87,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
10,2024-01-22,1,3078,107,2,269.34,148.15,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
11,2024-01-23,1,3838,167,5,335.9,487.99,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
12,2024-01-24,1,2704,83,1,236.69,89.72,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
13,2024-01-25,1,3278,122,3,286.85,219.59,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
14,2024-01-26,1,3561,144,4,311.65,345.36,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
15,2024-01-27,1,2514,102,2,219.98,172.06,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
16,2024-01-28,1,1508,36,0,132.0,0.0,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
17,2024-01-29,1,2189,54,0,191.62,0.0,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
18,2024-01-30,1,3776,162,4,330.43,385.11,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
19,2024-01-31,1,2721,84,1,238.15,69.97,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
20,2024-02-01,1,3774,162,4,330.31,400.79,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
21,2024-02-02,1,2312,60,1,202.31,84.52,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
22,2024-02-03,1,1597,41,0,139.76,0.0,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
23,2024-02-04,1,2497,101,2,218.53,144.73,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
24,2024-02-05,1,3031,104,2,265.25,173.39,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
25,2024-02-06,1,2643,79,1,231.29,97.66,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
26,2024-02-07,1,2935,97,2,256.83,150.4,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
27,2024-02-08,1,3149,112,2,275.59,185.64,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
28,2024-02-09,1,2525,72,1,220.97,78.6,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
29,2024-02-10,1,2793,126,4,244.47,360.38,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
30,2024-02-11,1,2073,69,1,181.47,85.6,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
31,2024-02-12,1,2377,64,1,208.02,75.64,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
32,2024-02-13,1,2778,87,1,243.09,88.0,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
33,2024-02-14,1,2578,75,1,225.65,75.49,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
34,2024-02-15,1,2285,59,1,199.94,89.46,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
35,2024-02-16,1,2576,75,1,225.46,98.78,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
36,2024-02-17,1,2618,111,3,229.14,211.23,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
37,2024-02-18,1,1815,53,1,158.84,90.75,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
38,2024-02-19,1,2549,73,1,223.08,72.5,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
39,2024-02-20,1,3881,171,5,339.6,437.08,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
40,2024-02-21,1,3026,104,2,264.83,189.35,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
41,2024-02-22,1,3644,151,4,318.92,297.9,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
42,2024-02-23,1,2332,61,1,204.13,82.66,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
43,2024-02-24,1,2055,68,1,179.83,83.88,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
44,2024-02-25,1,2450,97,2,214.38,181.79,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
45,2024-02-26,1,3970,179,5,347.46,356.73,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
46,2024-02-27,1,2897,95,2,253.51,159.07,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
47,2024-02-28,1,3744,159,4,327.67,305.82,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
48,2024-02-29,1,2505,71,1,219.2,83.25,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
49,2024-03-01,1,2932,97,2,256.63,154.94,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
50,2024-03-02,1,1830,54,1,160.18,99.39,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
51,2024-03-03,1,2080,70,1,182.04,97.29,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
52,2024-03-04,1,3170,114,2,277.38,139.44,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
53,2024-03-05,1,3998,181,5,349.9,482.12,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
54,2024-03-06,1,3942,176,5,345.01,497.48,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
55,2024-03-07,1,3720,157,4,325.58,294.62,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
56,2024-03-08,1,3050,105,2,266.93,150.53,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
57,2024-03-09,1,2026,66,1,177.28,69.99,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
58,2024-03-10,1,1997,64,1,174.79,101.5,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
59,2024-03-11,1,2643,79,1,231.31,94.66,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
60,2024-03-12,1,2994,101,2,261.98,164.76,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
61,2024-03-13,1,3921,174,5,343.12,509.22,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
62,2024-03-14,1,3180,115,2,278.26,184.85,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
63,2024-03-15,1,2439,67,1,213.48,78.09,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
64,2024-03-16,1,2759,123,3,241.48,263.08,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
65,2024-03-17,1,2208,79,2,193.24,186.86,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
66,2024-03-18,1,2259,58,1,197.71,87.86,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
67,2024-03-19,1,3082,108,2,269.71,193.98,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
68,2024-03-20,1,2444,67,1,213.9,100.67,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
69,2024-03-21,1,2301,60,1,201.41,74.32,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
70,2024-03-22,1,3252,120,3,284.6,272.87,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
71,2024-03-23,1,1811,53,1,158.53,72.08,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
72,2024-03-24,1,2658,114,3,232.61,229.11,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
73,2024-03-25,1,3251,120,3,284.52,267.18,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
74,2024-03-26,1,2927,97,2,256.2,175.69,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
75,2024-03-27,1,3119,110,2,272.93,199.56,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
76,2024-03-28,1,2531,72,1,221.47,92.35,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
77,2024-03-29,1,2594,76,1,227.03,81.46,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
78,2024-03-30,1,2375,91,2,207.89,156.4,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34
79,2024-02-22,2,17645,282,3,381.15,214.65,2026-01-01T19:41:22.293473,Social Campaign 2,social,55+
80,2024-02-23,2,14746,197,2,318.52,127.83,2026-01-01T19:41:22.293473,Social Campaign 2,social,55+
81,2024-02-24,2,18035,421,8,389.56,623.19,2026-01-01T19:41:22.293473,Social Campaign 2,social,55+
82,2024-02-25,2,10328,138,1,223.1,57.54,2026-01-01T19:41:22.293473,Social Campaign 2,social,55+
83,2024-02-26,2,17039,263,3,368.04,228.79,2026-01-01T19:41:22.293473,Social Campaign 2,social,55+
84,2024-02-27,2,24365,538,9,526.29,673.75,2026-01-01T19:41:22.293473,Social Campaign 2,social,55+
85,2024-02-28,2,18280,303,4,394.86,224.41,2026-01-01T19:41:22.293473,Social Campaign 2,social,55+
86,2024-02-29,2,23804,514,9,514.18,632.63,2026-01-01T19:41:22.293473,Social Campaign 2,social,55+
87,2024-03-01,2,21162,406,6,457.1,466.01,2026-01-01T19:41:22.293473,Social Campaign 2,social,55+
88,2024-03-02,2,15165,298,4,327.58,208.81,2026-01-01T19:41:22.293473,Social Campaign 2,social,55+
89,2024-03-03,2,16524,354,6,356.93,358.7,2026-01-01T19:41:22.293473,Social Campaign 2,social,55+
90,2024-03-04,2,21777,430,7,470.39,534.89,2026-01-01T19:41:22.293473,Social Campaign 2,social,55+
91,2024-03-05,2,15481,217,2,334.4,110.0,2026-01-01T19:41:22.293473,Social Campaign 2,social,55+
92,2024-03-06,2,15156,208,2,327.39,132.77,2026-01-01T19:41:22.293473,Social Campaign 2,social,55+
93,2024-03-07,2,17124,266,3,369.88,203.18,2026-01-01T19:41:22.293473,Social Campaign 2,social,55+
94,2024-03-08,2,22422,456,7,484.33,401.05,2026-01-01T19:41:22.293473,Social Campaign 2,social,55+
95,2024-03-09,2,15001,291,4,324.03,235.45,2026-01-01T19:41:22.293473,Social Campaign 2,social,55+
96,2024-03-10,2,13787,246,3,297.81,226.62,2026-01-01T19:41:22.293473,Social Campaign 2,social,55+
97,2024-03-11,2,23951,520,9,517.36,489.6,2026-01-01T19:41:22.293473,Social Campaign 2,social,55+
98,2024-03-12,2,18923,324,4,408.75,236.77,2026-01-01T19:41:22.293473,Social Campaign 2,social,55+
99,2024-03-13,2,13925,175,1,300.79,72.05,2026-01-01T19:41:22.293473,Social Campaign 2,social,55+
100,2024-03-14,2,21464,418,6,463.64,352.87,2026-01-01T19:41:22.293473,Social Campaign 2,social,55+
101,2024-03-15,2,22703,467,8,490.4,530.75,2026-01-01T19:41:22.293473,Social Campaign 2,social,55+
102,2024-03-16,2,13280,228,3,286.87,156.75,2026-01-01T19:41:22.293473,Social Campaign 2,social,55+
103,2024-03-17,2,10345,138,1,223.45,74.96,2026-01-01T19:41:22.293473,Social Campaign 2,social,55+
104,2024-03-18,2,24639,550,10,532.22,661.85,2026-01-01T19:41:22.293473,Social Campaign 2,social,55+
105,2024-03-19,2,23814,514,9,514.4,604.31,2026-01-01T19:41:22.293473,Social Campaign 2,social,55+
106,2024-03-20,2,15645,222,2,337.94,110.63,2026-01-01T19:41:22.293473,Social Campaign 2,social,55+
107,2024-03-21,2,17551,279,3,379.11,226.12,2026-01-01T19:41:22.293473,Social Campaign 2,social,55+
