performance_id,date,campaign_id,impressions,clicks,conversions,spend,revenue,created_at,campaign_name,channel,target_audience,ctr,cvr,cpc,roas,cac,profit,profit_margin,year,month,month_name,week,day_of_week,day_name,quarter,is_weekend,season,spend_is_outlier,revenue_is_outlier,roas_is_outlier,cac_is_outlier,ctr_is_outlier,cvr_is_outlier
1,2024-01-13,1,1589,41,0,139.11,0.0,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,2.5802391441157964,0.0,3.392926829268293,0.0,,-139.11,,2024,1,January,2,5,Saturday,1,1,Winter,False,False,False,False,False,False
2,2024-01-14,1,2795,126,4,244.58,343.96,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,4.5080500894454385,3.1746031746031744,1.9411111111111112,1.4063292174339683,61.145,99.37999999999997,28.8928945226189,2024,1,January,2,6,Sunday,1,1,Winter,False,False,False,False,False,False
3,2024-01-15,1,3946,177,5,345.35,486.33,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,4.485554992397364,2.824858757062147,1.951129943502825,1.4082235413348776,69.07000000000001,140.97999999999996,28.98854687146587,2024,1,January,3,0,Monday,1,0,Winter,False,False,False,False,False,False
4,2024-01-16,1,2175,53,0,190.33,0.0,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,2.436781609195402,0.0,3.591132075471698,0.0,,-190.33,,2024,1,January,3,1,Tuesday,1,0,Winter,False,False,False,False,False,False
5,2024-01-17,1,3412,132,3,298.6,258.77,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,3.8686987104337636,2.272727272727273,2.262121212121212,0.8666108506363026,99.53333333333335,-39.83000000000004,-15.392046991536903,2024,1,January,3,2,Wednesday,1,0,Winter,False,False,False,False,False,False
6,2024-01-18,1,2646,79,1,231.58,89.79,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,2.985638699924414,1.2658227848101267,2.931392405063291,0.38772778305553157,231.58,-141.79000000000002,-157.91290789620228,2024,1,January,3,3,Thursday,1,0,Winter,False,False,False,False,False,False
7,2024-01-19,1,2359,63,1,206.49,82.78,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,2.6706231454005933,1.5873015873015872,3.277619047619048,0.4008910843140103,206.49,-123.71000000000001,-149.44431021985986,2024,1,January,3,4,Friday,1,0,Winter,False,False,False,False,False,False
8,2024-01-20,1,2094,71,1,183.24,100.43,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,3.3906399235912126,1.4084507042253522,2.5808450704225354,0.5480790220475878,183.24,-82.81,-82.4554416011152,2024,1,January,3,5,Saturday,1,1,Winter,False,False,False,False,False,False
9,2024-01-21,1,2639,113,3,230.97,230.87,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,4.281924971580144,2.6548672566371683,2.043982300884956,0.9995670433389618,76.99,-0.09999999999999432,-0.04331441937020588,2024,1,January,3,6,Sunday,1,1,Winter,False,False,False,False,False,False
10,2024-01-22,1,3078,107,2,269.34,148.15,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,3.4762833008447043,1.8691588785046727,2.5171962616822428,0.5500482661320265,134.67,-121.18999999999997,-81.80222747215657,2024,1,January,4,0,Monday,1,0,Winter,False,False,False,False,False,False
11,2024-01-23,1,3838,167,5,335.9,487.99,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,4.351224596143824,2.9940119760479043,2.011377245508982,1.45278356653766,67.17999999999999,152.09000000000003,31.166622266849735,2024,1,January,4,1,Tuesday,1,0,Winter,False,False,False,False,False,False
12,2024-01-24,1,2704,83,1,236.69,89.72,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,3.0695266272189348,1.2048192771084338,2.851686746987952,0.3790612193164054,236.69,-146.97,-163.80962995987517,2024,1,January,4,2,Wednesday,1,0,Winter,False,False,False,False,False,False
13,2024-01-25,1,3278,122,3,286.85,219.59,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,3.721781574130567,2.459016393442623,2.3512295081967216,0.7655220498518389,95.61666666666667,-67.26000000000002,-30.629810100642114,2024,1,January,4,3,Thursday,1,0,Winter,False,False,False,False,False,False
14,2024-01-26,1,3561,144,4,311.65,345.36,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,4.043807919123841,2.7777777777777777,2.164236111111111,1.1081662120969038,77.9125,33.710000000000036,9.76082927959232,2024,1,January,4,4,Friday,1,0,Winter,False,False,False,False,False,False
15,2024-01-27,1,2514,102,2,219.98,172.06,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,4.05727923627685,1.9607843137254901,2.1566666666666667,0.7821620147286117,109.99,-47.91999999999999,-27.85074973846332,2024,1,January,4,5,Saturday,1,1,Winter,False,False,False,False,False,False
16,2024-01-28,1,1508,36,0,132.0,0.0,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,2.3872679045092835,0.0,3.6666666666666665,0.0,,-132.0,,2024,1,January,4,6,Sunday,1,1,Winter,False,False,False,False,False,False
17,2024-01-29,1,2189,54,0,191.62,0.0,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,2.466879853814527,0.0,3.5485185185185184,0.0,,-191.62,,2024,1,January,5,0,Monday,1,0,Winter,False,False,False,False,False,False
18,2024-01-30,1,3776,162,4,330.43,385.11,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,4.290254237288135,2.4691358024691357,2.0396913580246916,1.165481342493115,82.6075,54.68000000000001,14.198540676689777,2024,1,January,5,1,Tuesday,1,0,Winter,False,False,False,False,False,False
19,2024-01-31,1,2721,84,1,238.15,69.97,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,3.0871003307607494,1.1904761904761905,2.8351190476190475,0.29380642452235983,238.15,-168.18,-240.3601543518651,2024,1,January,5,2,Wednesday,1,0,Winter,False,False,False,True,False,False
20,2024-02-01,1,3774,162,4,330.31,400.79,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,4.292527821939586,2.4691358024691357,2.0389506172839504,1.2133753140988768,82.5775,70.48000000000002,17.585269093540262,2024,2,February,5,3,Thursday,1,0,Winter,False,False,False,False,False,False
21,2024-02-02,1,2312,60,1,202.31,84.52,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,2.5951557093425603,1.6666666666666667,3.3718333333333335,0.41777470218970886,202.31,-117.79,-139.36346426881212,2024,2,February,5,4,Friday,1,0,Winter,False,False,False,False,False,False
22,2024-02-03,1,1597,41,0,139.76,0.0,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,2.567313713212273,0.0,3.408780487804878,0.0,,-139.76,,2024,2,February,5,5,Saturday,1,1,Winter,False,False,False,False,False,False
23,2024-02-04,1,2497,101,2,218.53,144.73,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,4.044853824589508,1.9801980198019802,2.1636633663366336,0.6622889305816134,109.265,-73.80000000000001,-50.99150141643061,2024,2,February,5,6,Sunday,1,1,Winter,False,False,False,False,False,False
24,2024-02-05,1,3031,104,2,265.25,173.39,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,3.4312108215110526,1.9230769230769231,2.550480769230769,0.6536852026390197,132.625,-91.86000000000001,-52.97883384278218,2024,2,February,6,0,Monday,1,0,Winter,False,False,False,False,False,False
25,2024-02-06,1,2643,79,1,231.29,97.66,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,2.989027620128642,1.2658227848101267,2.9277215189873416,0.4222404773228415,231.29,-133.63,-136.8318656563588,2024,2,February,6,1,Tuesday,1,0,Winter,False,False,False,False,False,False
26,2024-02-07,1,2935,97,2,256.83,150.4,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,3.3049403747870527,2.0618556701030926,2.6477319587628863,0.5856013705563993,128.415,-106.42999999999998,-70.76462765957446,2024,2,February,6,2,Wednesday,1,0,Winter,False,False,False,False,False,False
27,2024-02-08,1,3149,112,2,275.59,185.64,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,3.556684661797396,1.7857142857142856,2.460625,0.6736093472186945,137.795,-89.94999999999999,-48.45399698340875,2024,2,February,6,3,Thursday,1,0,Winter,False,False,False,False,False,False
28,2024-02-09,1,2525,72,1,220.97,78.6,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,2.851485148514852,1.3888888888888888,3.069027777777778,0.35570439426166445,220.97,-142.37,-181.13231552162853,2024,2,February,6,4,Friday,1,0,Winter,False,False,False,False,False,False
29,2024-02-10,1,2793,126,4,244.47,360.38,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,4.511278195488721,3.1746031746031744,1.9402380952380953,1.4741277048308585,61.1175,115.91,32.16327210167046,2024,2,February,6,5,Saturday,1,1,Winter,False,False,False,False,False,False
30,2024-02-11,1,2073,69,1,181.47,85.6,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,3.3285094066570187,1.4492753623188406,2.63,0.47170331184217773,181.47,-95.87,-111.99766355140189,2024,2,February,6,6,Sunday,1,1,Winter,False,False,False,False,False,False
31,2024-02-12,1,2377,64,1,208.02,75.64,2026-01-01T19:41:22.293473,Paid Search Campaign 1,paid_search,25-34,2.6924694993689524,1.5625,3.2503125,0.36361888279973076,208.02,-132.38,-175.0132205182443,2024,2,February,7,0,Monday,1,0,Winter,False,False,False,False,False,False
