transaction_id,customer_id,transaction_date,order_value,products_purchased,discount_applied
1,1,2024-01-14,53.03,2,0.0
2,2,2024-01-14,45.1,4,0.0
3,2,2024-03-13,43.46,2,20.0
4,3,2024-01-14,74.16,3,0.0
5,3,2024-02-20,81.29,4,20.0
6,3,2024-03-31,73.47,2,0.0
7,4,2024-01-14,92.99,2,0.0
8,4,2024-03-11,86.68,1,20.0
9,5,2024-01-15,57.59,4,0.0
10,5,2024-02-21,47.02,2,0.0
11,6,2024-01-15,116.49,2,0.0
12,6,2024-03-08,121.44,2,0.0
13,6,2024-04-11,113.2,1,0.0
14,7,2024-01-15,92.38,3,0.0
15,8,2024-01-15,72.23,1,0.0
16,8,2024-02-23,69.34,4,10.0
17,9,2024-01-15,56.4,2,0.0
18,9,2024-02-06,48.43,2,0.0
19,9,2024-03-28,61.84,1,15.0
20,10,2024-01-17,118.53,4,0.0
21,10,2024-03-05,104.07,1,0.0
22,10,2024-03-19,106.17,2,15.0
23,10,2024-05-01,129.78,3,5.0
24,10,2024-05-14,120.63,4,0.0
25,10,2024-07-01,116.29,2,0.0
26,10,2024-07-12,116.81,2,20.0
27,10,2024-09-01,83.91,4,10.0
28,10,2024-10-31,110.69,1,15.0
29,11,2024-01-17,106.16,2,0.0
30,11,2024-03-02,103.83,4,0.0
31,11,2024-03-17,98.73,2,15.0
32,11,2024-04-09,110.47,1,0.0
33,11,2024-05-09,115.34,4,0.0
34,12,2024-01-17,101.05,1,0.0
35,12,2024-01-26,108.98,3,10.0
36,12,2024-03-01,76.39,3,5.0
37,12,2024-03-30,95.24,2,10.0
38,12,2024-05-18,103.87,1,0.0
39,12,2024-06-13,105.34,2,0.0
40,12,2024-07-03,94.65,2,0.0
41,13,2024-01-18,66.73,1,0.0
42,13,2024-03-06,70.83,4,5.0
43,13,2024-03-29,64.77,2,15.0
44,14,2024-01-19,75.36,3,0.0
45,15,2024-01-20,56.35,3,0.0
46,16,2024-01-21,91.14,4,0.0
47,16,2024-03-18,79.61,2,0.0
48,17,2024-01-21,124.52,3,0.0
49,17,2024-02-04,121.23,1,5.0
50,17,2024-02-16,105.24,3,0.0
51,18,2024-01-21,115.35,2,0.0
52,18,2024-02-03,98.15,4,0.0
53,19,2024-01-22,97.53,2,0.0
54,20,2024-01-22,100.1,5,0.0
55,20,2024-03-02,84.04,3,10.0
56,20,2024-04-16,74.04,2,0.0
57,20,2024-06-10,85.67,4,0.0
58,21,2024-01-23,65.37,5,0.0
59,21,2024-01-30,63.71,2,15.0
60,21,2024-03-13,64.99,3,0.0
61,22,2024-01-23,77.31,5,0.0
62,22,2024-02-28,59.78,4,0.0
63,23,2024-01-23,44.2,4,0.0
64,24,2024-01-23,108.83,2,0.0
65,24,2024-02-04,117.43,3,5.0
66,24,2024-02-15,107.96,2,0.0
67,24,2024-02-27,108.54,4,10.0
